Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Child and Adolescent Psychiatry and Mental Health,1.399,Q1,2390,GBP,3274,no,https://capmh.biomedcentral.com/about,16,Pediatrics,Psychiatry,"CC BY, CC0",https://capmh.biomedcentral.com/,BMC,NA,1753-2000
Maternal and Child Nutrition,1.093,Q1,2500,USD,2796,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/17408709/homepage/article_publication_charges.html,14,Pediatrics,Gynecology and obstetrics,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/17408709,Wiley,1740-8695,1740-8709
International Breastfeeding Journal,0.99,Q1,2190,GBP,3000,no,https://internationalbreastfeedingjournal.biomedcentral.com/about,32,Pediatrics,Public aspects of medicine,"CC BY, CC0",https://internationalbreastfeedingjournal.biomedcentral.com/,BMC,NA,1746-4358
International Journal of Neonatal Screening,0.931,Q1,1000,CHF,1234,"yes, library special terms",https://www.mdpi.com/journal/ijns/apc,6,Pediatrics,,CC BY,https://www.mdpi.com/journal/ijns,MDPI AG,NA,2409-515X
BMJ Paediatrics Open,0.845,Q1,2060,GBP,2822,no,https://bmjpaedsopen.bmj.com/pages/authors/#article_processing_charges,13,Pediatrics,,"CC BY-NC, CC BY, CC BY-NC-ND",https://bmjpaedsopen.bmj.com,BMJ Publishing Group,NA,2399-9772
Clinical and Experimental Pediatrics,0.83,Q1,No,-,0,yes,https://www.e-cep.org/authors/authors.php,60,Pediatrics,,CC BY-NC,http://www.e-cep.org,The Korean Pediatric Society,NA,2713-4148
Frontiers in Pediatrics,0.798,Q1,2950,USD,3300,no,http://journal.frontiersin.org/journal/pediatrics#fees,14,Pediatrics,,CC BY,http://journal.frontiersin.org/journal/pediatrics,Frontiers Media S.A.,NA,2296-2360
JMIR Pediatrics and Parenting,0.778,Q1,1985,USD,2220,"yes, library special terms",https://pediatrics.jmir.org/fees/article-processing-fees,12,Pediatrics,,CC BY,https://pediatrics.jmir.org/,JMIR Publications,NA,2561-6722
BMC Pediatrics,0.742,Q1,2290,GBP,3137,no,https://bmcpediatr.biomedcentral.com/about,21,Pediatrics,,"CC BY, CC0",https://bmcpediatr.biomedcentral.com,BMC,NA,1471-2431
Pediatric Rheumatology Online Journal,0.732,Q2,2290,GBP,3137,no,https://ped-rheum.biomedcentral.com/about,17,Pediatrics,Diseases of the musculoskeletal system,"CC BY, CC0",https://ped-rheum.biomedcentral.com/,BMC,NA,1546-0096
Jornal de Pediatria,0.713,Q2,1500,USD,1678,yes,https://www.elsevier.com/journals/jornal-de-pediatria/0021-7557/open-access-journal,12,Pediatrics,,CC BY-NC-ND,https://www.journals.elsevier.com/jornal-de-pediatria/,Elsevier,0021-7557,1678-4782
Italian Journal of Pediatrics,0.661,Q2,1890,GBP,2589,no,https://ijponline.biomedcentral.com/about,10,Pediatrics,,"CC BY, CC0",https://ijponline.biomedcentral.com/,BMC,1720-8424,1824-7288
Journal of Children's Orthopaedics,0.573,Q2,2000,EUR,2380,no,https://journals.sagepub.com/author-instructions/CHO#Articleprocessing,23,Pediatrics,Orthopedic surgery,"CC BY, CC BY-NC",https://journals.sagepub.com/home/CHO,SAGE Publishing,1863-2521,1863-2548
Annals of Pediatric Endocrinology & Metabolism,0.55,Q2,No,-,0,yes,https://www.e-apem.org/authors/processing_charge.php,24,Pediatrics,,CC BY-NC,http://e-apem.org,Korean Society of Pediatric Endocrinology,2287-1012,2287-1292
Children,0.504,Q2,2400,CHF,2961,"yes, library special terms",http://www.mdpi.com/journal/children/apc,6,Pediatrics,,CC BY,http://www.mdpi.com/journal/children,MDPI AG,NA,2227-9067
JCRPE,0.502,Q2,100,USD,112,yes,http://www.jcrpe.org/instruction-to-authors,20,Pediatrics,Diseases of the endocrine glands. Clinical endocrinology,CC BY-NC-ND,http://www.jcrpe.org/,Galenos Yayincilik,1308-5727,1308-5735
Global Pediatric Health,0.472,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/gph,12,Pediatrics,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/gph,SAGE Publishing,NA,2333-794X
International Journal of Pediatrics,0.449,Q2,925,USD,1035,yes,https://www.hindawi.com/journals/ijpedi/apc/,19,Pediatrics,,CC BY,https://www.hindawi.com/journals/ijpedi/,Hindawi Limited,1687-9740,1687-9759
International Journal of Pediatrics and Adolescent Medicine,0.447,Q2,No,-,0,yes,https://www.elsevier.com/journals/international-journal-of-pediatrics-and-adolescent-medicine/2352-6467/open-access-journal,17,Pediatrics,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/international-journal-of-pediatrics-and-adolescent-medicine/,Elsevier,NA,2352-6467
Pediatric Investigation,0.408,Q3,No,USD,0,"yes, also under DEAL",https://onlinelibrary.wiley.com/page/journal/25742272/homepage/article_publication_charge.htm,12,Pediatrics,,"CC BY, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/25742272,Wiley,2096-3726,2574-2272
Revista Paulista de Pediatria,0.344,Q3,No,-,0,yes,https://www.scielo.br/journal/rpp/about/#instructions,11,Pediatrics,,CC BY,https://www.scielo.br/j/rpp/,Sociedade de Pediatria de São Paulo,NA,1984-0462
Pediatric Reports,0.339,Q3,1400,CHF,1727,"yes, library special terms",https://www.mdpi.com/journal/pediatrrep/apc,6,Pediatrics,,CC BY,https://www.mdpi.com/journal/pediatrrep,MDPI AG,2036-749X,2036-7503
Annals of Pediatric Cardiology,0.302,Q3,No,-,0,yes,https://www.annalspc.com/contributors.asp#mc,23,Pediatrics,Diseases of the circulatory (Cardiovascular) system,CC BY-NC-SA,http://www.annalspc.com/,Wolters Kluwer Medknow Publications,0974-2069,0974-5149
The Journal of Pediatrics: X,0.301,Q3,1900,USD,2125,no,https://www.elsevier.com/journals/the-journal-of-pediatrics-x/2590-0420/open-access-journal,30,Pediatrics,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/the-journal-of-pediatrics-x,Elsevier,NA,2590-0420
World Journal of Pediatric Surgery,0.25,Q3,No,-,0,yes,https://wjps.bmj.com/pages/authors/#article_publishing_charges,13,Pediatrics,Surgery,"CC BY-NC, CC BY, CC BY-NC-ND",https://wjps.bmj.com/,BMJ Publishing Group,NA,2516-5410
Journal of Neonatal Surgery,0.13,Q4,No,-,0,yes,http://www.jneonatalsurg.com/ojs/index.php/jns/editpolicy#EP21,6,Pediatrics,Surgery,CC BY,http://www.jneonatalsurg.com/,EL-Med-Pub,NA,2226-0439
Pediatric Neurology Briefs,-,-,No,-,0,yes,http://www.pediatricneurologybriefs.com/about/submissions#authorGuidelines,2,Pediatrics,,CC BY,http://www.pediatricneurologybriefs.com,Pediatric Neurology Briefs Publishers,1043-3155,2166-6482
Case Reports in Pediatrics,-,-,725,USD,811,yes,https://www.hindawi.com/journals/cripe/apc/,13,Pediatrics,,CC BY,https://www.hindawi.com/journals/cripe/,Hindawi Limited,2090-6803,2090-6811
European Journal of Pediatric Surgery Reports,-,-,1600,USD,1790,yes,https://www.thieme.com/media/ita/EJPS-R_instructions_for_authors.pdf,12,Pediatrics,Surgery,CC BY,https://doi.org/10.1055/s-00024358,Georg Thieme Verlag KG,2194-7619,2194-7627
Clinical Medicine: Pediatrics,-,-,1500,USD,1678,yes,https://us.sagepub.com/en-us/nam/clinical-medicine-insights-pediatrics/journal202641#description,8,Pediatrics,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/pdi,SAGE Publishing,NA,1178-220X
"Adolescent Health, Medicine and Therapeutics",-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=89,16,Pediatrics,,"CC BY, CC BY-NC",https://www.dovepress.com/adolescent-health-medicine-and-therapeutics-journal,Dove Medical Press,NA,1179-318X
Clinical Medicine Insights: Pediatrics,-,-,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/pdi,8,Pediatrics,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/pdi,SAGE Publishing,NA,1179-5565
"Pediatric Health, Medicine and Therapeutics",-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=103,16,Pediatrics,,"CC BY, CC BY-NC",https://www.dovepress.com/pediatric-health-medicine-and-therapeutics-journal,Dove Medical Press,NA,1179-9927
Molecular and Cellular Pediatrics,-,-,1790,GBP,2452,"no, but DEAL special terms",https://molcellped.springeropen.com/about,18,Pediatrics,,CC BY,https://molcellped.springeropen.com/,SpringerOpen,NA,2194-7791
Child Neurology Open,-,-,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/cno,15,Pediatrics,Neurology. Diseases of the nervous system,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cno,SAGE Publishing,NA,2329-048X
Pediatric Quality & Safety,-,-,No,-,0,yes,http://journals.lww.com/pqs/Pages/openaccess.aspx,20,Pediatrics,,"CC BY, CC BY-NC-ND",http://journals.lww.com/pqs/pages/default.aspx,Wolters Kluwer,NA,2472-0054
Paediatric & Neonatal Pain,-,-,2400,USD,2685,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/26373807/homepage/article_publication_charges.htm,24,Pediatrics,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/26373807,Wiley,NA,2637-3807
JCPP Advances,-,-,2350,USD,2629,"no, but DEAL special terms",https://acamh.onlinelibrary.wiley.com/hub/journal/26929384/apc.html,13,Pediatrics,Psychiatry,CC BY,https://acamh.onlinelibrary.wiley.com/journal/26929384,Wiley,NA,2692-9384
Pharmaceuticals,0.799,Q1,2200,CHF,2714,"yes, library special terms",http://www.mdpi.com/journal/pharmaceuticals/apc,6,Pharmacy and materia medica,,CC BY,http://www.mdpi.com/journal/pharmaceuticals/,MDPI AG,NA,1424-8247
Pharmaceutics,0.795,Q1,2900,CHF,3577,"yes, library special terms",http://www.mdpi.com/journal/pharmaceutics/apc,6,Pharmacy and materia medica,,CC BY,http://www.mdpi.com/journal/pharmaceutics/,MDPI AG,NA,1999-4923
International Journal of Pharmaceutics: X,0.734,Q1,2200,USD,2461,no,https://www.elsevier.com/journals/international-journal-of-pharmaceutics-x/2590-1567/open-access-journal,17,Pharmacy and materia medica,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/international-journal-of-pharmaceutics-x,Elsevier,NA,2590-1567
Scientia Pharmaceutica,0.565,Q2,1000,CHF,1234,"yes, library special terms",http://www.mdpi.com/journal/scipharm/apc,6,Pharmacy and materia medica,,CC BY,http://www.mdpi.com/journal/scipharm,MDPI AG,0036-8709,2218-0532
Journal of Pharmacy and Bioallied Sciences,0.252,Q2,400,USD,447,yes,https://journals.lww.com/JPBS/Pages/informationforauthors.aspx,34,Pharmacy and materia medica,Analytical chemistry,CC BY-NC-SA,http://www.jpbsonline.org/,Wolters Kluwer Medknow Publications,0976-4879,0975-7406
INNOVATIONS in Pharmacy,-,-,No,-,0,yes,http://pubs.lib.umn.edu/innovations/policies.html,16,Pharmacy and materia medica,,CC BY-NC,http://www.pharmacy.umn.edu/innovations/,University of Minnesota Libraries Publishing,NA,2155-0417
Pharmacy,-,-,1600,CHF,1974,"yes, library special terms",http://www.mdpi.com/journal/pharmacy/apc,6,Pharmacy and materia medica,,CC BY,http://www.mdpi.com/journal/pharmacy,MDPI AG,NA,2226-4787
Integrated Pharmacy Research and Practice,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=135,16,Pharmacy and materia medica,,"CC BY, CC BY-NC",https://www.dovepress.com/integrated-pharmacy-research-and-practice-journal,Dove Medical Press,NA,2230-5254
Exploratory Research in Clinical and Social Pharmacy,-,-,1800,USD,2013,no,https://www.elsevier.com/journals/exploratory-research-in-clinical-and-social-pharmacy/2667-2766/open-access-information,15,Pharmacy and materia medica,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/exploratory-research-in-clinical-and-social-pharmacy,Elsevier,NA,2667-2766
CoDAS,0.261,Q2,No,-,0,yes,http://www.codas.org.br/,30,Philology. Linguistics,Otorhinolaryngology,CC BY,http://www.codas.org.br/,Sociedade Brasileira de Fonoaudiologia,NA,2317-1782
Journal of Imaging,0.595,Q2,1600,CHF,1974,"yes, library special terms",http://www.mdpi.com/journal/jimaging/apc,6,Photography,Computer applications to medicine. Medical informatics,CC BY,http://www.mdpi.com/journal/jimaging,MDPI AG,NA,2313-433X
Biophysical Reports,0.884,Q1,2000,USD,2237,no,https://www.cell.com/open-access,12,Physics,Biology (General),"CC BY, CC BY-NC-ND",https://www.cell.com/biophysreports,Elsevier,NA,2667-0747
International Journal of Tryptophan Research,1.127,Q1,750,USD,839,yes,https://journals.sagepub.com/author-instructions/try,8,Physiology,Biochemistry,"CC BY, CC BY-NC",https://journals.sagepub.com/home/try,SAGE Publishing,NA,1178-6469
Frontiers in Physiology,1.028,Q1,3225,USD,3607,no,https://www.frontiersin.org/journals/physiology/for-authors/publishing-fees,14,Physiology,,CC BY,https://www.frontiersin.org/journals/physiology,Frontiers Media S.A.,NA,1664-042X
Cellular Physiology and Biochemistry,0.827,Q2,1785,EUR,2124,no,https://www.cellphysiolbiochem.com/Contact/,16,Physiology,Biochemistry,CC BY-NC-ND,https://www.cellphysiolbiochem.com,Cell Physiol Biochem Press GmbH & Co KG,1015-8987,1421-9778
Physiological Reports,0.789,Q2,1600,USD,1790,"yes, also under DEAL",https://physoc.onlinelibrary.wiley.com/hub/journal/2051817X/resources/article-publication-charges,9,Physiology,,CC BY,https://physoc.onlinelibrary.wiley.com/journal/2051817x,Wiley,NA,2051-817X
Current Research in Physiology,0.512,Q3,2500,USD,2796,no,https://www.elsevier.com/journals/current-research-in-physiology/2665-9441/open-access-journal,11,Physiology,Specialties of internal medicine,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/current-research-in-physiology,Elsevier,NA,2665-9441
Physiological Research,0.479,Q3,800,EUR,952,yes,http://www.biomed.cas.cz/physiolres/instructions.htm,16,Physiology,,CC BY-NC,http://www.biomed.cas.cz/physiolres/index.html,"Czech Academy of Sciences, Institute of Physiology",0862-8408,1802-9973
Pathophysiology,0.369,Q3,1400,CHF,1727,"yes, library special terms",https://www.mdpi.com/journal/pathophysiology/apc,7,Physiology,,CC BY,https://www.mdpi.com/journal/pathophysiology,MDPI AG,NA,1873-149X
Journal of Lipids,-,-,925,USD,1035,yes,https://www.hindawi.com/journals/jl/apc/,12,Physiology,Biochemistry,CC BY,https://www.hindawi.com/journals/jl/,Hindawi Limited,2090-3030,2090-3049
Metabolism Open,-,-,2000,USD,2237,no,https://www.elsevier.com/journals/metabolism-open/2589-9368/open-access-journal,16,Physiology,Biochemistry,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/metabolism-open,Elsevier,NA,2589-9368
Function,-,-,2870,GBP,3932,no,https://academic.oup.com/function/pages/general-instructions,3,Physiology,,"CC BY, CC BY-NC",https://academic.oup.com/function,Oxford University Press,NA,2633-8823
Plant Signaling & Behavior,0.649,Q2,2110,USD,2360,no,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=kpsb20,9,Plant ecology,Biology (General),"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kpsb,Taylor & Francis Group,1559-2316,1559-2324
European Psychiatry,1.993,Q1,2200,EUR,2618,"yes, library special terms",https://www.cambridge.org/core/journals/european-psychiatry/information/open-access,6,Psychiatry,,"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/european-psychiatry,Cambridge University Press,0924-9338,1778-3585
European Journal of Psychotraumatology,1.768,Q1,1460,GBP,2000,no,https://www.tandfonline.com/action/authorSubmission?journalCode=ZEPT&page=instructions,18,Psychiatry,,CC BY,https://www.tandfonline.com/journals/zept,Taylor & Francis Group,NA,2000-8066
BJPsych Open,1.622,Q1,1520,GBP,2082,"yes, library special terms",https://www.cambridge.org/core/journals/bjpsych-open/information/instructions-contributors#_Open_Access,16,Psychiatry,,"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/bjpsych-open,Cambridge University Press,NA,2056-4724
npj Schizophrenia,1.61,Q1,2990,GBP,4096,no,https://www.nature.com/npjschz/about/apc,15,Psychiatry,,CC BY,https://www.nature.com/npjschz/,Nature Portfolio,NA,2334-265X
General Psychiatry,1.495,Q1,No,-,0,yes,https://gpsych.bmj.com/pages/authors/#article_publishing_charges,17,Psychiatry,,"CC BY-NC, CC BY, CC BY-NC-ND",https://gpsych.bmj.com/,BMJ Publishing Group,NA,2517-729X
Borderline Personality Disorder and Emotion Dysregulation,1.394,Q1,2190,GBP,3000,no,https://bpded.biomedcentral.com/about,28,Psychiatry,,"CC BY, CC0",https://bpded.biomedcentral.com,BMC,NA,2051-6673
BMC Psychiatry,1.291,Q1,2490,GBP,3411,no,https://bmcpsychiatry.biomedcentral.com/about,20,Psychiatry,,"CC BY, CC0",http://bmcpsychiatry.biomedcentral.com,BMC,NA,1471-244X
Frontiers in Psychiatry,1.222,Q1,2950,USD,3300,no,http://frontiersin.org/psychiatry/fees,14,Psychiatry,,CC BY,http://frontiersin.org/psychiatry,Frontiers Media S.A.,NA,1664-0640
Chronic Stress,1.148,Q1,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/css,6,Psychiatry,,"CC BY, CC BY-NC",http://journals.sagepub.com/home/css,SAGE Publishing,NA,2470-5470
Depression Research and Treatment,1.134,Q1,800,USD,895,yes,https://www.hindawi.com/journals/drt/apc/,10,Psychiatry,Psychology,CC BY,https://www.hindawi.com/journals/drt/,Hindawi Limited,2090-1321,2090-133X
Annals of General Psychiatry,0.976,Q2,2290,GBP,3137,no,https://annals-general-psychiatry.biomedcentral.com/about,17,Psychiatry,,"CC BY, CC0",http://annals-general-psychiatry.biomedcentral.com,BMC,NA,1744-859X
Nature and Science of Sleep,0.875,Q2,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=73,16,Psychiatry,Neurophysiology and neuropsychology,"CC BY, CC BY-NC",https://www.dovepress.com/nature-and-science-of-sleep-journal,Dove Medical Press,NA,1179-1608
BJPsych Bulletin,0.839,Q2,No,-,0,"yes, library special terms",https://www.cambridge.org/core/journals/bjpsych-bulletin/information/instructions-contributors#OA,15,Psychiatry,,"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/bjpsych-bulletin,Cambridge University Press,2056-4694,2056-4708
Journal of Eating Disorders,0.833,Q2,1690,GBP,2315,no,https://jeatdisord.biomedcentral.com/about,16,Psychiatry,,"CC BY, CC0",https://jeatdisord.biomedcentral.com,BMC,NA,2050-2974
BJPsych International,0.558,Q3,No,-,0,"yes, library special terms",https://www.cambridge.org/core/journals/bjpsych-international/information/instructions-contributors#Open,14,Psychiatry,,"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/bjpsych-international,Cambridge University Press,2056-4740,2058-6264
Trends in Psychiatry and Psychotherapy,0.553,Q2,No,-,0,yes,http://www.scielo.br/revistas/trends/iinstruc.htm,13,Psychiatry,,CC BY-NC,http://www.scielo.br/scielo.php?script=sci_serial&pid=2237-6089&lng=en&nrm=iso,Associação de Psiquiatria do Rio Grande do Sul,2237-6089,2238-0019
Schizophrenia Research and Treatment,0.417,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/schizort/apc/,14,Psychiatry,,CC BY,https://www.hindawi.com/journals/schizort/,Hindawi Limited,2090-2085,2090-2093
Mental Illness,0.216,Q4,900,USD,1007,yes,https://www.hindawi.com/journals/mij/apc/,20,Psychiatry,,CC BY,https://www.hindawi.com/journals/mij/,Hindawi - Emerald Publishing,2036-7457,2036-7465
Case Reports in Psychiatry,0.165,Q4,725,USD,811,yes,https://www.hindawi.com/journals/crips/apc/,12,Psychiatry,,CC BY,https://www.hindawi.com/journals/crips/,Hindawi Limited,2090-682X,2090-6838
Industrial Psychiatry Journal,-,-,70,USD,78,yes,https://www.industrialpsychiatry.org/contributors.asp#apc,39,Psychiatry,Industrial psychology,CC BY-NC-SA,http://www.industrialpsychiatry.org,Wolters Kluwer Medknow Publications,0972-6748,0976-2795
Addiction and Health,-,-,No,-,0,yes,http://ahj.kmu.ac.ir/journal/authors.note,10,Psychiatry,,CC BY,http://ahj.kmu.ac.ir/,Kerman University of Medical Sciences,2008-4633,2008-8469
Autism Research and Treatment,-,-,800,USD,895,yes,https://www.hindawi.com/journals/aurt/apc/,21,Psychiatry,,CC BY,https://www.hindawi.com/journals/aurt/,Hindawi Limited,2090-1925,2090-1933
Sleep Disorders,-,-,800,USD,895,yes,https://www.hindawi.com/journals/sd/apc/,21,Psychiatry,,CC BY,https://www.hindawi.com/journals/sd/,Hindawi Limited,2090-3545,2090-3553
Psychiatry Journal,-,-,800,USD,895,yes,https://www.hindawi.com/journals/psychiatry/apc/,13,Psychiatry,,CC BY,https://www.hindawi.com/journals/psychiatry/,Hindawi Limited,2314-4327,2314-4335
Psychiatric Research and Clinical Practice,-,-,2500,USD,2796,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/25755609/homepage/open-access,16,Psychiatry,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/25755609,Wiley,NA,2575-5609
Biological Psychiatry Global Open Science,-,-,3200,USD,3579,no,https://www.elsevier.com/journals/biological-psychiatry-global-open-science/2667-1743/open-access-information,13,Psychiatry,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/biological-psychiatry-global-open-science,Elsevier,NA,2667-1743
BMJ Mental Health,-,-,3090,GBP,4233,no,https://mentalhealth.bmj.com/pages/authors/#article_publishing_charges,16,Psychiatry,,"CC BY, CC BY-NC",https://mentalhealth.bmj.com/,BMJ Publishing Group,NA,2755-9734
The Lancet Regional Health. Europe,7.133,Q1,4000,USD,4474,no,https://www.thelancet.com/open-access,9,Public aspects of medicine,,"CC BY, CC BY-NC-ND",https://www.thelancet.com/journals/lanepe/home,Elsevier,NA,2666-7762
Eurosurveillance,4.145,Q1,No,-,0,yes,https://www.eurosurveillance.org/for-authors,30,Public aspects of medicine,,CC BY,http://www.eurosurveillance.org/,European Centre for Disease Prevention and Control,NA,1560-7917
The Lancet Regional Health. Americas,3.174,Q1,4000,USD,4474,no,https://www.thelancet.com/open-access,13,Public aspects of medicine,,"CC BY, CC BY-NC-ND",https://www.thelancet.com/journals/lanam/home,Elsevier,NA,2667-193X
Globalization and Health,2.587,Q1,2490,GBP,3411,no,https://globalizationandhealth.biomedcentral.com/about,21,Public aspects of medicine,,"CC BY, CC0",https://globalizationandhealth.biomedcentral.com,BMC,NA,1744-8603
The Lancet Regional Health. Western Pacific,2.168,Q1,3680,USD,4116,no,https://www.thelancet.com/open-access,11,Public aspects of medicine,,"CC BY, CC BY-NC-ND",https://www.thelancet.com/journals/lanwpc/home,Elsevier,NA,2666-6065
SSM: Population Health,1.785,Q1,2630,USD,2942,no,https://www.elsevier.com/journals/ssm-population-health/2352-8273/open-access-journal,16,Public aspects of medicine,Social sciences (General),"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/ssm-population-health/,Elsevier,NA,2352-8273
Public Health Reviews,1.78,Q1,1980,CHF,2442,no,https://www.ssph-journal.org/journals/public-health-reviews/for-authors/publishing-fees,5,Public aspects of medicine,,"CC BY, CC0",https://www.ssph-journal.org/journals/public-health-reviews,Frontiers Media S.A.,NA,2107-6952
International Journal for Equity in Health,1.548,Q1,2590,GBP,3548,no,https://equityhealthj.biomedcentral.com/about,28,Public aspects of medicine,,"CC BY, CC0",https://equityhealthj.biomedcentral.com,BMC,NA,1475-9276
JMIR Public Health and Surveillance,1.547,Q1,3500,USD,3915,"yes, library special terms",https://publichealth.jmir.org/fees/article-processing-fees,12,Public aspects of medicine,,CC BY,https://publichealth.jmir.org,JMIR Publications,NA,2369-2960
Journal of Epidemiology and Global Health,1.524,Q1,1990,GBP,2726,no,https://www.springer.com/journal/44197/how-to-publish-with-us#Fees%20and%20Funding,19,Public aspects of medicine,,CC BY,https://www.springer.com/journal/44197,Springer,2210-6006,2210-6014
Preventing Chronic Disease,1.464,Q1,No,-,0,yes,https://www.cdc.gov/pcd/for_authors/general_information.htm,22,Public aspects of medicine,,Public domain,https://www.cdc.gov/pcd,Centers for Disease Control and Prevention,NA,1545-1151
Journal of Migration and Health,1.445,Q1,1910,USD,2136,no,https://www.elsevier.com/journals/journal-of-migration-and-health/2666-6235/open-access-journal,10,Public aspects of medicine,Colonies and colonization. Emigration and immigration. International migration,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/journal-of-migration-and-health,Elsevier,NA,2666-6235
Harm Reduction Journal,1.414,Q1,2690,GBP,3685,no,https://harmreductionjournal.biomedcentral.com/about,26,Public aspects of medicine,,"CC BY, CC0",http://harmreductionjournal.biomedcentral.com,BMC,NA,1477-7517
Global Health Research and Policy,1.368,Q1,1390,USD,1555,yes,https://ghrp.biomedcentral.com/about,5,Public aspects of medicine,,CC BY,http://ghrp.biomedcentral.com/,BMC,NA,2397-0642
Health Research Policy and Systems,1.353,Q1,2590,GBP,3548,no,https://health-policy-systems.biomedcentral.com/about,27,Public aspects of medicine,,"CC BY, CC0",https://health-policy-systems.biomedcentral.com/,BMC,NA,1478-4505
BMC Public Health,1.307,Q1,2690,GBP,3685,no,https://bmcpublichealth.biomedcentral.com/about,18,Public aspects of medicine,,"CC BY, CC0",https://bmcpublichealth.biomedcentral.com,BMC,NA,1471-2458
International Journal of Public Health,1.289,Q1,2300,CHF,2837,no,https://www.ssph-journal.org/journals/international-journal-of-public-health/for-authors/publishing-fees,13,Public aspects of medicine,,CC BY,https://www.ssph-journal.org/journals/international-journal-of-public-health,Frontiers Media S.A.,1661-8556,1661-8564
Journal of Global Health,1.286,Q1,1200,USD,1342,yes,http://www.jogh.org/contributors.htm,6,Public aspects of medicine,,CC BY,http://jogh.org,Edinburgh University Global Health Society,2047-2978,2047-2986
International Journal of Health Policy and Management,1.155,Q1,1500,USD,1678,yes,https://www.ijhpm.com/journal/authors.note,11,Public aspects of medicine,,CC BY,https://www.ijhpm.com,Kerman University of Medical Sciences,NA,2322-5939
BMC International Health and Human Rights,1.145,Q1,1870,GBP,2562,no,https://bmcpublichealth.biomedcentral.com/about,28,Public aspects of medicine,,CC BY,https://bmcinthealthhumrights.biomedcentral.com,BMC,NA,1472-698X
Frontiers in Public Health,1.125,Q1,3225,USD,3607,no,http://journal.frontiersin.org/journal/public-health#fees,14,Public aspects of medicine,,CC BY,http://journal.frontiersin.org/journal/public-health,Frontiers Media S.A.,NA,2296-2565
Health Equity,1.12,Q1,950,USD,1063,yes,https://home.liebertpub.com/publications/health-equity/641/for-authors,24,Public aspects of medicine,,CC BY,http://www.liebertpub.com/heq,Mary Ann Liebert,NA,2473-1242
Journal of Healthcare Leadership,1.082,Q1,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=91,16,Public aspects of medicine,,"CC BY, CC BY-NC",https://www.dovepress.com/journal-of-healthcare-leadership-journal,Dove Medical Press,NA,1179-3201
Environmental Health and Preventive Medicine,0.996,Q1,2360,USD,2640,no,https://ehpm.kopas.co.jp/instructions-to-authors/,16,Public aspects of medicine,,CC BY,https://ehpm.kopas.co.jp/,Komiyama Printing Co. Ltd,1342-078X,1347-4715
BMC Health Services Research,0.964,Q1,2690,GBP,3685,no,https://bmchealthservres.biomedcentral.com/about,23,Public aspects of medicine,,"CC BY, CC0",http://bmchealthservres.biomedcentral.com,BMC,NA,1472-6963
